SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
AXMINSTER  COMMUNITY PRIMARY SCHOOL,STONEY LANE,,AXMINSTER,DEVON,EX135BU,Axminster CP
BROADCLYST  PRIMARY SCHOOL,SCHOOL LANE,BROADCLYST,EXETER,DEVON,EX53JG,Broad Clyst CP
CHERITON BISHOP COMMUNITY PRIMARY SCHOOL-MAIN COTTAGE CROSS SITE,CHURCH LANE,CHERITON BISHOP,EXETER,DEVON,EX66HY,Cheriton Bishop CP
CHERITON BISHOP COMMUNITY PRIMARY SCHOOL-ASHES COTTAGE SITE,CHURCH LANE,CHERITON BISHOP,EXETER,DEVON,EX66HY,Cheriton Bishop CP
CLYST HYDON PRIMARY SCHOOL-MAIN SCHOOL SITE,,CLYST HYDON,CULLOMPTON,DEVON,EX152ND,Clyst Hydon CP
CLYST HYDON PRIMARY SCHOOL-DETACHED PLAYING FIELD,,CLYST HYDON,CULLOMPTON,DEVON,EX152ND,Clyst Hydon CP
CLYST HYDON PRIMARY SCHOOL-VILLAGE HALL SITE,,CLYST HYDON,CULLOMPTON,DEVON,EX152ND,Clyst Hydon CP
CLYST ST MARY PRIMARY SCHOOL-MAIN SCHOOL SITE,,CLYST ST MARY,EXETER,DEVON,EX51BG,Clyst St. Mary CP
CLYST ST MARY PRIMARY SCHOOL-FOOTBALL GROUND,,CLYST ST MARY,EXETER,DEVON,EX51BG,Clyst St. Mary CP
COLYTON PRIMARY SCHOOL,THE BUTTS,WEST STREET,COLYTON,DEVON,EX246NU,Colyton CP
COPPLESTONE PRIMARY SCHOOL,BEWSLEY HILL,COPPLESTONE,CREDITON,DEVON,EX175NX,Copplestone CP
HAYWARDS PRIMARY SCHOOL,EAST STREET,,CREDITON,DEVON,EX173AX,Crediton CP
ST ANDREWS PRIMARY SCHOOL CULLOMPTON-MAIN SCHOOL SITE,ST ANDREWS ROAD,,CULLOMPTON,DEVON,EX151HU,Cullompton CP
ST ANDREWS PRIMARY SCHOOL CULLOMPTON-UPCOTT FIELD RECREATION GROUND,ST ANDREWS ROAD,,CULLOMPTON,DEVON,EX151HU,Cullompton CP
CULMSTOCK PRIMARY SCHOOL-MAIN SCHOOL SITE,,CULMSTOCK,CULLOMPTON,DEVON,EX153JP,Culmstock CP
CULMSTOCK PRIMARY SCHOOL-NEW PLAYING FIELD OFF PRESCOTT ROAD,,CULMSTOCK,CULLOMPTON,DEVON,EX153JP,Culmstock CP
CULMSTOCK PRIMARY SCHOOL-VILLAGE HALL,,CULMSTOCK,CULLOMPTON,DEVON,EX153JP,Culmstock CP
WILLOWBROOK SCHOOL,SUMMER LANE,WHIPTON,EXETER,DEVON,EX48NN,Exeter
LADYSMITH INFANTS SCHOOL,LADYSMITH ROAD,,EXETER,DEVON,EX12PS,Exeter
LADYSMITH JUNIOR SCHOOL,PRETORIA ROAD,,EXETER,DEVON,EX12PT,Exeter
NEWTOWN PRIMARY SCHOOL,CLIFTON ROAD,NEWTOWN,EXETER,DEVON,EX12ES,Exeter
REDHILLS COMMUNITY PRIMARY SCHOOL,LANDHAYES ROAD,REDHILLS,EXETER,DEVON,EX42BY,Exeter
ST THOMAS PRIMARY SCHOOL,UNION STREET,ST THOMAS,EXETER,DEVON,EX29BB,Exeter
STOKE HILL INFANTS & NURSERY SCHOOL,STOKE HILL,,EXETER,DEVON,EX47DB,Exeter
STOKE HILL JUNIOR SCHOOL,STOKE HILL,,EXETER,DEVON,EX47DP,Exeter
WHIPTON BARTON INFANTS AND NURSERY SCHOOL,HILL LANE,,EXETER,DEVON,EX13JP,Exeter
WHIPTON BARTON JUNIOR SCHOOL,HILL LANE,,EXETER,DEVON,EX13JP,Exeter
BRIXINGTON COMMUNITY NURSERY & PRIMARY SCHOOL-MAIN SCHOOL SITE,BRIXINGTON LANE,,EXMOUTH,DEVON,EX84JQ,Exmouth CP
BRIXINGTON COMMUNITY NURSERY & PRIMARY SCHOOL-FORMER INFANTS SCHOOL SITE,BRIXINGTON LANE,,EXMOUTH,DEVON,EX84JQ,
EXETER ROAD COMMUNITY PRIMARY SCHOOL,EXETER ROAD,,EXMOUTH,DEVON,EX81PU,Exmouth CP
MARPOOL PRIMARY SCHOOL,MOORFIELD ROAD,,EXMOUTH,DEVON,EX83QW,Exmouth CP
HALBERTON PRIMARY SCHOOL-MAIN SCHOOL SITE,CHURCH PATH,HALBERTON,TIVERTON,DEVON,EX167AT,Halberton CP
HALBERTON PRIMARY SCHOOL-PARISH FIELD,CHURCH PATH,HALBERTON,TIVERTON,DEVON,EX167AT,Halberton CP
HEMYOCK PRIMARY SCHOOL,PARKLANDS,HEMYOCK,CULLOMPTON,DEVON,EX153RY,Hemyock CP
HONITON PRIMARY SCHOOL,CLAPPER LANE,,HONITON,DEVON,EX141QF,Honiton CP
LITTLETOWN PRIMARY SCHOOL,HONITON BOTTOM ROAD,,HONITON,DEVON,EX142EG,Honiton CP
KILMINGTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,KILMINGTON,AXMINSTER,DEVON,EX137RG,Kilmington CP
KILMINGTON PRIMARY SCHOOL-ADJACENT PLAYGROUND SITE,,KILMINGTON,AXMINSTER,DEVON,EX137RG,Kilmington CP
