ITEM_TYPE_NAME,PARISH_NAME
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Sourton CP
MANHOLE,Sourton CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Drewsteignton CP
MANHOLE,Sticklepath CP
MANHOLE,Sticklepath CP
MANHOLE,Sparkwell CP
MANHOLE,Tiverton CP
MANHOLE,Tiverton CP
MANHOLE,Loxbeare CP
MANHOLE,Stoodleigh CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Knowstone CP
MANHOLE,Knowstone CP
MANHOLE,Knowstone CP
MANHOLE,Bishop's Nympton CP
MANHOLE,Bishop's Nympton CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Ideford CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Ilfracombe CP
MANHOLE,Westleigh CP
MANHOLE,Great Torrington CP
MANHOLE,Great Torrington CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Barnstaple CP
MANHOLE,Abbotsham CP
MANHOLE,Bratton Fleming CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,Drewsteignton CP
MANHOLE,Tiverton CP
MANHOLE,Washfield CP
MANHOLE,Washfield CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Knowstone CP
MANHOLE,Knowstone CP
MANHOLE,Bishop's Nympton CP
MANHOLE,Bishop's Nympton CP
MANHOLE,Ideford CP
MANHOLE,Ideford CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Bishop's Tawton CP
MANHOLE,Braunton CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Barnstaple CP
MANHOLE,Holsworthy CP
MANHOLE,Holsworthy CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Landkey CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Belstone CP
MANHOLE,Sourton CP
MANHOLE,Sourton CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Sticklepath CP
MANHOLE,South Tawton CP
MANHOLE,Drewsteignton CP
MANHOLE,Tiverton CP
MANHOLE,Tiverton CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
